timestamp,vehicle_id,engine_temp_c,vibration_mm_s,run_hours,status
2026-09-15 10:00:00,V001,65.2,1.5,120.5,NOMINAL
2026-09-15 10:01:00,V002,68.4,1.8,250.0,NOMINAL
2026-09-15 10:02:00,V003,62.1,1.2,115.3,NOMINAL
2026-09-15 10:03:00,V004,67.5,1.6,310.2,NOMINAL
2026-09-15 10:04:00,V005,71.0,2.1,440.0,NOMINAL
2026-09-15 10:05:00,V006,64.9,1.4,85.4,NOMINAL
2026-09-15 10:06:00,V007,69.4,1.9,190.1,NOMINAL
2026-09-15 10:07:00,V008,66.5,1.7,225.5,NOMINAL
2026-09-15 10:08:00,V009,72.3,2.3,340.8,NOMINAL
2026-09-15 10:09:00,V010,74.1,2.4,410.2,NOMINAL
2026-09-15 10:10:00,V011,63.0,1.3,150.0,NOMINAL
2026-09-15 10:11:00,V012,68.6,1.8,275.4,NOMINAL
2026-09-15 10:12:00,V013,70.2,2.2,360.7,NOMINAL
2026-09-15 10:13:00,V014,65.8,1.5,195.3,NOMINAL
2026-09-15 10:14:00,V015,73.5,2.5,210.6,NOMINAL
2026-09-15 10:15:00,V016,68.9,1.9,498.5,NOMINAL
2026-09-15 10:16:00,V017,66.5,1.6,95.0,NOMINAL
2026-09-15 10:17:00,V018,71.4,2.0,380.2,NOMINAL
2026-09-15 10:18:00,V019,64.2,1.4,130.9,NOMINAL
2026-09-15 10:19:00,V020,69.8,2.1,280.0,NOMINAL
